Layer,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,CellAVG,Obs
EPA-1,0.258,0.516,0.266,0.376,0.193,0.97,0.129,0.673,0.091,0.347,0.38190,24
EPA-1,0.258,0.347,0.129,0.785,0.129,0.144,0.129,0.288,0.456,0.182,0.28470,25
EPA-1,0.387,0.233,0.204,0.347,0.532,0,0.129,0.861,0,0.064,0.27570,26
EPA-1,0.129,1.304,0.673,0.658,1.217,0.433,0.129,0.532,0.504,0.194,0.57730,27
EPA-1,0.896,0.595,0.144,0.645,0.658,0.695,0.322,0.129,0.322,0.129,0.45350,28
EPA-1,0.064,0.347,0.347,0.826,0.798,0.698,0.091,0.258,0.091,0.194,0.37140,29
EPA-1,0.408,0.839,0.595,0.47,0.266,0.608,0,0.322,0.258,0,0.37660,30
EPA-1,0.365,0.551,0.091,1.239,0.451,0.595,0.129,1.177,0.387,0.194,0.51790,31
EPA-1,0.204,0.952,0.465,0.816,0.144,0.266,0.193,0.584,0.266,0.194,0.40840,32
EPA-1,0.144,0.939,0.064,1.184,0.064,0.408,0.129,0.322,0.451,0,0.37050,33
EPA-1,0.47,0.274,0.555,0.387,0.322,0.658,0.144,0.091,0.064,0.233,0.31980,34
EPA-1,0.816,0.288,0.064,0.144,0.064,0.288,0.193,0.258,0.129,0,0.22440,35
EPA-1,0.376,0.233,0.387,0.465,0.504,0.329,0,0.612,0.322,0.274,0.35020,36
EPA-1,0,0.408,0.392,0,0.595,0.456,0.456,0.193,0.193,0.144,0.28370,37
EPA-1,0.064,0.465,0.274,0.673,0.129,0.365,0.266,0.71,0.204,0,0.31500,38
EPA-1,0.322,0.413,0.064,1.102,0.322,0.266,0.064,0.577,0,0.091,0.32210,39
EPA-1,1.504,0.868,0.347,0.664,0.274,0.433,0.129,0.465,0.322,0.288,0.52940,40
EPA-2,0.193,0.091,0.144,0.433,0,0.233,0.193,0.064,0.47,0.091,0.19120,1
EPA-2,0,0.288,0.329,0.288,0.193,0,0.387,0,0.376,0.47,0.23310,2
EPA-2,0.144,0.288,0.064,0.532,0.504,0.064,0.392,0.233,0.408,0.413,0.30420,3
EPA-2,0.387,0.129,0.233,0.329,0.129,0.193,0.288,0.808,0.129,0.258,0.28830,4
EPA-2,0,0,0.456,0,0.322,0,0.129,0.193,0.365,0.392,0.18570,5
EPA-2,0.456,0.144,0,0.182,0.266,0,0.204,0.091,0.451,0.144,0.19380,6
EPA-2,0.091,0.233,0.091,0.204,0.329,0.144,0.193,0.347,0.258,0.841,0.27310,7
EPA-2,0.288,0.129,0.581,0.144,0.193,0,0.193,0.204,0.204,0.456,0.23920,8
EPA-2,0.266,0.064,0.144,0.091,0.144,0.129,0.064,0.329,0.288,0.877,0.23960,9
EPA-2,0.129,0.064,0.347,0.091,0.258,0.064,0.193,0.266,0.392,0.595,0.23990,10
EPA-2,0,0,0.387,0.144,0.091,0.129,0.274,0.266,0.985,0.735,0.30110,11
EPA-2,0.329,0.091,0.516,0.204,0.322,0.091,0.064,0.193,0.798,0.52,0.31280,12
EPA-2,0.129,0,0.777,0,0.064,0.413,0.129,0.774,0.97,0.413,0.36690,13
EPA-2,0,0.064,0.686,0.204,0.144,0.233,0.376,0.392,1.034,0.322,0.34550,14
EPA-2,0,0.091,0.516,0.144,0,0,0.193,0.144,1.184,0.532,0.28040,15
